타임스탬프,가장 좋아하는 영화 3가지,가장 좋아하는 음악 3가지,가장 좋아하는 아티스트(가수) 3명,당신의 취미 3가지는?,좋아하는 음식 3가지,싫어하는 음식 3가지,인상 깊었던 여행지 3가지,추천하고 싶은 상대국 명소 3가지,겪어본 경험 중 공유하고 싶은 경험,최근에 재밌게 본 애니메이션 3가지,지금까지 본 애니 중 탑3,가보고 싶은 나라는?,한번쯤 해보고 싶은 것은?
2026. 8. 10 오후 3:20:11,기생충; 부산행; 신과함께,BTS Dynamite; 아이유 블루밍; 뉴진스,BTS; 아이유; 뉴진스,게임; 독서; 운동,떡볶이; 삼겹살; 치킨,낫토; 산초,교토; 오사카; 삿포로,전주 한옥마을; 부산 해운대,일본 온천 여행이 정말 좋았어요,프리렌; 스파이 패밀리; 주술회전,귀멸의칼날; 진격의거인; 하이큐,일본,일본 벚꽃축제 가보기
2026. 8. 10 오후 4:02:33,너의 이름은; 부산행; 라라랜드,YOASOBI 아이돌; 아이유; 오피셜히게단디즘,아이유; YOASOBI; 뉴진스,애니 시청; 여행; 사진,라멘; 초밥; 치킨,고수; 홍어,오사카; 후쿠오카,전주 한옥마을; 경복궁,교환학생으로 갔을때 친구들이 친절했어요,프리렌; 최애의아이; 나 혼자만 레벨업,귀멸의칼날; 원피스; 나루토,일본,벚꽃 축제 가서 사진찍기
2026. 8. 11 오전 9:15:00,인터스텔라; 기생충; 어벤져스,아이유; 세븐틴; 콜드플레이,아이유; 세븐틴; BTS,축구; 게임; 요리,삼겹살; 김치찌개; 라멘,고수,도쿄; 오사카,경복궁; 남산타워,친구랑 부산 여행 갔던게 기억에 남아요,나 혼자만 레벨업; 스파이 패밀리; 귀멸의칼날,귀멸의칼날; 진격의거인; 나루토,일본,일본 온천 가보기
2026. 8. 11 오후 1:40:20,7번방의 선물; 신과함께; 럭키,뉴진스; 아이유; 지코,뉴진스; 아이유; 지코,댄스; 노래; 게임,치킨; 떡볶이; 삼겹살,민트초코,도쿄; 삿포로; 오키나와,경복궁; 명동,일본 애니 성지순례 가봤어요,최애의아이; 프리렌,귀멸의칼날; 슬램덩크; 원피스,일본,코스프레 해보기
2026. 8. 12 오전 10:05:10,신과함께; 극한직업,BTS; 세븐틴,BTS; 세븐틴; 아이유,독서; 산책,김치찌개; 떡볶이,없음,오사카; 교토,전주 한옥마을,부산 밤바다가 예뻤어요,스파이 패밀리; 진격의거인,진격의거인; 원피스; 나루토,일본,온천 여행
2026. 8. 12 오후 2:22:45,극한직업; 베테랑; 신과함께,아이유; 지코; 뉴진스,아이유; 지코,요리; 사진,삼겹살; 치킨; 라멘,낫토,오사카; 도쿄,경복궁; 부산,일본 친구들과 축제 즐겼어요,귀멸의칼날; 하이큐,귀멸의칼날; 나루토; 원피스,일본,벚꽃축제
2026. 8. 13 오후 6:11:02,千と千尋の神隠し; 君の名は。; となりのトトロ,YOASOBI; Official髭男dism; あいみょん,YOASOBI; あいみょん; Ado,アニメ鑑賞; 読書; ゲーム,ラーメン; 寿司; 焼肉,キムチ; 唐辛子,ソウル; 釜山,全州韓屋村; 明洞,韓国旅行でBTSのライブを見ました,葬送のフリーレン; 呪術廻戦; スパイファミリー,鬼滅の刃; 進撃の巨人; ハイキュー,韓国,韓服を着てみたい
2026. 8. 13 오후 7:33:19,ラーメン大好き女子高生; 千と千尋の神隠し; 名探偵コナン,あいみょん; YOASOBI; back number,あいみょん; Ado; YOASOBI,ダンス; 音楽鑑賞; ゲーム,焼肉; キムチ; チキン,パクチー,ソウル; 大邱,南山タワー; 明洞,韓国のコンビニ食品が美味しかったです,呪術廻戦; ワンピース; SPY×FAMILY,鬼滅の刃; ハイキュー; 呪術廻戦,韓国,K-POPライブに行きたい
2026. 8. 14 오전 11:44:51,名探偵コナン; ワンピース FILM RED,YOASOBI; Ado; back number,YOASOBI; Ado,料理; 旅行; 写真撮影,キムチチゲ; チキン; トッポギ,辛い物,ソウル; 済州島,景福宮; 南山タワー,韓国の学校交流プログラムが楽しかったです,SPY×FAMILY; 葬送のフリーレン,ワンピース; 鬼滅の刃; NARUTO,韓国,済州島に行ってみたい
2026. 8. 14 오후 12:58:02,君の名は。; 天気の子; すずめの戸締まり,Official髭男dism; あいみょん; YOASOBI,Official髭男dism; YOASOBI,サッカー; ゲーム; 読書,トッポギ; チキン; キムパプ,納豆が嫌い,ソウル; 釜山,景福宮; 東大門,韓国ドラマにハマってます,呪術廻戦; 鬼滅の刃,鬼滅の刃; 進撃の巨人; SPY×FAMILY,韓国,韓国コスメを試したい
